,compound,x,Temperature,rho,w_mass,w_vol,Viscosity,Kin_viscosity,E
4196,peta,30.302472243878253,26.899999999999977,1.16,9.75,13.681230947887936,122.8936936936937,105.94283939111527,57886.5728098312
4197,peta,30.302472243878253,27.0,1.16,9.75,13.681230947887936,121.80000000000001,105.00000000000001,57886.5728098312
4198,peta,30.302472243878253,27.100000000000023,1.16,9.75,13.681230947887936,121.50000000000001,104.74137931034485,57886.5728098312
4199,peta,30.302472243878253,27.30000000000001,1.16,9.75,13.681230947887936,119.98461538461538,103.43501326259947,57886.5728098312
4200,peta,30.302472243878253,27.399999999999977,1.16,9.75,13.681230947887936,119.93076923076924,103.38859416445624,57886.5728098312
4201,peta,30.302472243878253,27.5,1.16,9.75,13.681230947887936,118.60000000000001,102.24137931034484,57886.5728098312
4202,peta,30.302472243878253,27.600000000000023,1.16,9.75,13.681230947887936,117.64444444444445,101.4176245210728,57886.5728098312
4203,peta,30.302472243878253,27.69999999999999,1.16,9.75,13.681230947887936,117.62666666666668,101.40229885057472,57886.5728098312
4204,peta,30.302472243878253,27.80000000000001,1.16,9.75,13.681230947887936,117.12499999999999,100.96982758620689,57886.5728098312
4205,peta,30.302472243878253,27.899999999999977,1.16,9.75,13.681230947887936,115.52499999999996,99.59051724137929,57886.5728098312
4206,peta,30.302472243878253,28.0,1.16,9.75,13.681230947887938,115.3090909090909,99.40438871473356,57886.57280983121
4207,peta,30.302472243878253,28.100000000000023,1.16,9.75,13.681230947887936,113.8625,98.1573275862069,57886.5728098312
4208,peta,30.302472243878253,28.19999999999999,1.16,9.75,13.681230947887936,112.79459459459459,97.23671947809878,57886.5728098312
4209,peta,30.302472243878253,28.30000000000001,1.16,9.75,13.681230947887935,111.93333333333338,96.49425287356325,57886.5728098312
4210,peta,30.302472243878253,28.399999999999977,1.16,9.75,13.681230947887936,111.14999999999998,95.81896551724137,57886.5728098312
4211,peta,30.302472243878253,28.5,1.16,9.75,13.681230947887936,111.12077922077921,95.79377519032693,57886.5728098312
4212,peta,30.302472243878253,28.600000000000023,1.16,9.75,13.681230947887935,109.66666666666663,94.54022988505744,57886.5728098312
